,CENTRO,CENTRO,CENTRO,CENTRO,CENTRO,CENTRO,CENTRO,CENTRO,CENTRO,CENTRO,CENTRO,CENTRO,CENTRO,CENTRO,CENTRO
,CO,NO,NO2,NOX,O3,PM10,PM2.5,PRS,RAINF,RH,SO2,SR,TOUT,WSR,WDR
,ppm,ppb,ppb,ppb,ppb,ug/m3,ug/m3,mmhg,mm/hr,%,ppb,KW/m2,DegC,km/hr,Deg
Date,,,,,,,,,,,,,,,
2018-01-13,2.2420833508173623,,,,26.272727272727273,41.375,12.454545454545455,720.2041702270508,0.0,39.166666666666664,,0.16504167047484467,11.027499914169312,6.166666612029076,144.5
2018-01-14,2.30458332101504,,,,24.041666666666668,45.708333333333336,15.5,719.6416702270508,0.0,63.791666666666664,,0.1610416671804463,10.881250003973642,4.38333331545194,107.95833333333333
2018-01-15,2.577083319425583,9.021428653172084,12.214285660002913,21.228571193558828,18.0,64.375,17.166666666666668,716.0,0.0,63.958333333333336,,0.1544999995191271,13.819583415985107,3.383333295583725,146.41666666666666
2018-01-16,2.2266666889190674,5.712500035762787,8.700000067551931,14.391666650772095,14.125,43.083333333333336,10.466666666666667,721.1833368937174,0.0,81.41666666666667,,0.018333333544433117,5.462083298402528,7.637499938408534,82.5
2018-01-17,2.1716666420300803,6.5,8.445833365122477,14.899999936421713,18.125,37.958333333333336,12.826086956521738,723.6791636149088,0.0,83.125,,0.052833333456267915,-0.5920833333705863,6.379166682561238,63.333333333333336
2018-01-18,2.527083307504654,14.170833279689154,11.487500021855036,25.60416668653488,12.708333333333334,67.66666666666667,29.833333333333332,719.7333348592123,0.0,82.0,,0.05524999896685282,2.1079166762841246,3.32916667064031,94.20833333333333
2018-01-19,3.017916669448217,29.11666663487752,19.424999872843426,48.50416692097982,12.090909090909092,108.54166666666667,43.041666666666664,714.779167175293,0.0,72.04166666666667,,0.1560000004634882,9.652083446582159,3.0500000367561975,150.33333333333334
2018-01-20,2.9612500170866647,23.962500115235645,17.266666690508526,41.170833031336464,22.523809523809526,93.25,27.434782608695652,711.4375050862631,0.0,61.25,,0.16404166705130288,15.085416376590729,3.7791666835546494,196.83333333333334
2018-01-21,2.732916682958603,11.366666535536448,14.345833420753479,25.675000071525574,18.73913043478261,75.875,30.625,709.1208318074545,0.0,62.458333333333336,,0.1669583348945404,18.35208336512248,3.725000003973643,201.875
2018-01-22,2.4687499900658927,7.733333398898442,12.229166686534882,19.89583345254262,17.82608695652174,65.69565217391305,16.217391304347824,712.9750086466471,0.0,40.208333333333336,,0.09679166666076829,16.19000009695689,5.112499962250392,129.20833333333334
2018-01-23,2.3549999992052713,9.54090918194164,8.66818180951205,18.154545393857088,26.083333333333332,44.375,9.476190476190476,716.1374969482422,0.0,37.5,,0.12929166562389582,12.365833282470703,7.6000000134758325,113.875
2018-01-24,2.303749998410543,6.087500025828679,7.2000000675519304,13.225000003973642,30.375,36.458333333333336,8.714285714285714,719.0833333333334,0.0,47.583333333333336,,0.1580833326637124,12.601666768391928,7.220833331346512,98.41666666666667
2018-01-25,2.5050000051657357,7.545833388964335,11.108333339293798,18.59583342075348,13.791666666666666,34.625,11.047619047619047,718.1458333333334,0.0,74.04166666666667,,0.07149999984540045,9.995416760444641,5.754166692495346,63.958333333333336
2018-01-26,3.0470833281675973,21.150000035762787,15.03333330154419,36.14583365122477,7.625,79.91666666666667,36.416666666666664,714.4208323160807,0.0,82.95833333333333,,0.11287499960356702,13.03125003973643,2.733333354194959,146.0
2018-01-27,2.979583332935969,17.100000123182934,13.116666714350382,30.162499984105427,8.434782608695652,97.79166666666667,33.5,714.0291697184244,0.0,75.375,,0.07391666741265605,16.28958336512248,3.904166653752327,152.125
2018-01-28,2.4037499825159707,8.862500051657358,9.879166642824808,18.695833325386047,11.166666666666666,31.416666666666668,16.791666666666668,717.1166636149088,0.0,85.08333333333333,,0.03804166653814415,14.137916723887125,3.7458333571751914,145.83333333333334
2018-01-29,2.339166671037674,9.029166678587595,9.000000009934107,17.975000103314716,29.61904761904762,36.91304347826087,11.68421052631579,720.5250015258789,0.0,60.375,,0.12379166545967261,15.489166696866354,4.983333294590314,129.08333333333334
2018-01-30,2.3916666905085244,12.079166769981384,10.470833281675974,23.026086848715078,29.59090909090909,40.541666666666664,12.470588235294118,719.1666692097982,0.0,37.583333333333336,,0.15929166592347124,14.001666784286499,7.387500017881393,114.45833333333333
2018-01-31,2.599583317836126,13.283333420753479,15.491666654745737,28.71666665871938,21.125,60.75,16.125,713.4208297729492,0.0,49.708333333333336,,0.16087500378489494,14.534999887148539,3.36250002682209,160.625
2018-02-01,2.92521740042645,23.31304346996805,20.156521672787875,43.41304364411727,24.363636363636363,91.30434782608695,26.17391304347826,711.5652200450068,0.0,36.391304347826086,,0.15834782697746289,21.05999983911929,3.9173912691033403,191.08695652173913
2018-02-02,2.495000014702479,5.512500007947286,8.604166646798452,14.041666686534882,31.333333333333332,54.291666666666664,9.619047619047619,717.6208343505859,0.0,41.916666666666664,,0.09383333195000887,15.433750033378601,7.9541667103767395,77.43478260869566
2018-02-03,2.8829166491826377,14.450000069358133,18.604545506564055,32.995454571463846,17.875,83.375,23.608695652173914,713.2083333333334,0.0,54.75,,0.09799999922203521,14.433333357175192,3.404166633884112,152.83333333333334
2018-02-04,2.849999984105428,14.10833340883255,12.970833361148834,26.9333332379659,9.478260869565217,57.78260869565217,18.526315789473685,710.5833257039388,0.0,40.458333333333336,,0.07812499906867743,21.93791667620341,3.733333339293798,228.45833333333334
2018-02-05,2.7358333468437195,8.170833349227905,9.833333293596903,17.945833325386047,12.416666666666666,52.583333333333336,21.625,712.3958358764648,0.0,70.41666666666667,,0.09195833253518988,17.37000028292338,4.808333307504654,142.29166666666666
2018-02-06,3.269583354393641,21.095833281675976,16.48749993244807,37.52916677792867,7.625,104.75,36.833333333333336,710.8250045776367,0.0,76.0,,0.08804166658471028,18.706666747728985,2.2333332945903144,176.41666666666666
2018-02-07,3.059166649977366,21.154166638851166,11.129166543483734,32.22500022252401,4.857142857142857,88.54166666666667,27.952380952380953,715.0416666666666,0.0,76.91666666666667,,0.04754166588342438,15.732916553815206,5.833333363135655,153.45833333333334
2018-02-08,2.7512499888738,10.975000043710073,10.391666750113169,21.31666664282481,8.125,50.25,15.869565217391305,718.529167175293,0.0,70.0,,0.06450000075468172,10.762916763623556,4.920833319425583,91.0
2018-02-09,3.117083340883255,20.366666813691456,16.58749993642171,36.92916671435038,7.833333333333333,91.375,31.0,713.3166707356771,0.0,70.625,,0.09758333279751241,13.366666793823242,3.141666685541471,112.75
2018-02-10,3.1245833337306976,20.508333384990692,13.133333265781403,33.57916657129923,22.818181818181817,78.75,26.863636363636363,708.7124964396158,0.0,53.458333333333336,,0.16583333412806192,20.443750023841858,3.9208333492279053,207.5
2018-02-11,2.6208333174387612,6.479166686534882,8.020833214124044,14.43333343664805,15.416666666666666,53.666666666666664,13.722222222222221,710.529167175293,0.0,52.166666666666664,,0.20479166565928608,17.8479167620341,8.30000002682209,188.3913043478261
2018-02-12,2.724583317836126,7.895833383003871,8.329166690508524,16.175000071525574,11.125,29.75,10.95,717.0041656494141,0.0,88.5,,0.03208333366395285,7.21708329518636,6.67083340883255,65.0
2018-02-13,3.094583362340927,17.621739200923752,12.373912987501726,29.930434931879457,9.291666666666666,60.791666666666664,26.73913043478261,717.8416646321615,0.0,87.625,,0.06716666704354186,9.975833296775818,2.7874999940395355,147.79166666666666
2018-02-14,3.2449999948342643,17.381818359548394,13.386363636363637,30.73181811246005,11.533333333333333,94.95833333333333,35.75,716.3833363850912,0.0,83.61904761904762,,0.10641666532804568,14.807083288828531,3.2249999940395355,146.91666666666666
2018-02-15,3.411666661500931,18.674999952316284,17.354166666666668,35.99166679382324,24.19047619047619,109.0,43.0,713.1041692097982,0.0,73.54166666666667,,0.17704166565090418,19.354166825612385,3.6125000019868216,180.58333333333334
2018-02-16,3.1983333627382913,16.716666559378307,14.208333432674408,30.87500007947286,21.565217391304348,88.70833333333333,26.666666666666668,711.9999949137369,0.0,64.125,,0.2022083348905047,22.09625005722046,4.912499974171321,171.20833333333334
2018-02-17,2.802500009536743,6.712499916553497,8.562500059604645,15.233333269755045,20.791666666666668,67.5,27.583333333333332,712.0458323160807,0.0,67.91666666666667,,0.18129166479532918,22.419999917348225,5.90416665871938,82.45833333333333
2018-02-18,2.687916656335195,5.160869556924571,4.886956453323364,9.973913026892621,25.666666666666668,42.95652173913044,16.695652173913043,710.9291687011719,0.0,66.04166666666667,,0.14429166567667076,22.052916685740154,7.2291666467984514,80.95833333333333
2018-02-19,2.7779166400432587,8.033333278837658,8.399999959128243,16.395238081614178,21.958333333333332,53.375,19.166666666666668,708.1083323160807,0.0,66.08333333333333,,0.13349999875451127,22.327916781107586,6.000000049670537,85.08333333333333
2018-02-20,3.0687499940395355,13.30833331743876,14.958333412806192,28.225000023841858,11.666666666666666,76.95833333333333,26.916666666666668,708.6249974568685,0.0,70.25,,0.10295833274722099,21.870833317438763,3.800000011920929,123.25
2018-02-21,3.022083342075348,10.933333357175192,12.39166671037674,23.274999856948853,23.5,74.79166666666667,23.0,711.4750061035156,0.0,62.958333333333336,,0.19266666766876975,21.797083377838135,5.654166653752327,166.0
2018-02-22,2.952499975760778,17.60416680574417,7.9166666467984514,25.49583339691162,6.3,58.19047619047619,20.708333333333332,714.5166702270508,0.0,85.875,,0.02887499995995313,12.552916606267294,4.916666686534882,62.21739130434783
2018-02-23,3.298333336909612,20.408333440621693,13.237500071525574,33.604166785875954,9.476190476190476,95.33333333333333,40.625,712.3958282470703,0.0,82.41666666666667,,0.14024999966689697,16.77749999364217,3.2750000109275184,105.04166666666667
2018-02-24,3.174166649580002,11.258333404858908,12.116666595141092,23.32083336512248,25.7,89.58333333333333,38.833333333333336,708.8791681925455,0.0,69.70833333333333,,0.16591666530196866,22.665416717529297,3.8875000029802322,155.70833333333334
2018-02-25,2.837916672229767,6.429166615009308,6.187499950329463,12.554166654745737,19.708333333333332,49.0,22.73913043478261,710.1291707356771,0.0,71.0,,0.17445833585225046,22.09624989827474,6.329166655739148,109.125
2018-02-26,,15.28695647612862,9.53478255479232,24.734782757966414,12.541666666666666,42.458333333333336,24.791666666666668,713.4000015258789,0.0,83.45833333333333,,0.03091666684485972,18.80749996503194,3.904166653752327,89.375
2018-02-27,,38.906667200724286,6.219999951620896,45.0199998219808,18.541666666666668,50.458333333333336,22.7,711.0541687011719,0.0,79.83333333333333,,0.1946249989947925,20.28208335240682,4.674999957283338,119.875
2018-02-28,,198.04999987284342,20.866666602591675,218.7749989827474,26.291666666666668,87.25,10.0,707.5208333333334,0.0,63.833333333333336,,0.18512499573019645,24.293333371480305,5.374999995032947,158.66666666666666
2018-03-01,,130.9956519085428,13.773913072503131,144.68695665442425,29.869565217391305,94.27777777777777,6.0,712.0130482549253,0.0,34.78260869565217,,0.23043478438225778,22.116956627887227,7.1826086873593535,119.52173913043478
2018-03-02,,67.71249993642171,11.416666746139526,79.08750049273173,39.541666666666664,37.8,12.25,715.4458389282227,0.0,37.333333333333336,,0.2229999997653067,19.169166564941406,7.779166643818219,97.875
2018-03-03,,155.08750025431314,11.320833424727121,166.32916736602783,35.5,40.958333333333336,,713.2916666666666,0.0,63.666666666666664,,0.19191666917564967,20.410416682561237,6.80416664481163,85.79166666666667
2018-03-04,,225.15416526794434,13.991666714350382,239.00833384195963,35.958333333333336,58.416666666666664,,710.7208353678385,0.0,66.625,,0.19550000014714897,22.09291648864746,5.741666714350383,109.5
2018-03-05,,277.2708333333333,14.741666634877523,290.3708318074544,34.25,66.58333333333333,,708.870839436849,0.0,61.958333333333336,,0.19954166662258407,24.24708326657613,5.704166680574417,154.375
2018-03-06,,219.98181637850675,13.818181644786488,233.6636338667436,25.09090909090909,52.666666666666664,8.5,711.9708302815756,0.0,49.541666666666664,,0.13362500056003532,19.81583333015442,7.470833232005437,58.458333333333336
2018-03-07,,,,,,39.625,12.857142857142858,716.0583318074545,0.0,37.5,,0.23470833633715907,17.19208339850108,10.733333309491476,116.33333333333333
2018-03-08,,,,,,37.958333333333336,13.0,714.4958318074545,0.0,57.125,,0.19395833516803881,14.854999979337057,8.920833349227905,106.70833333333333
2018-03-09,,,,,,53.458333333333336,22.555555555555557,709.7125015258789,0.0,64.29166666666667,,0.18341666731672981,18.710833231608074,5.224999989072482,88.04166666666667
2018-03-10,,,,,,68.75,26.636363636363637,707.5625,0.0,57.5,,0.21937500087854764,24.107499917348225,4.645833363135655,167.70833333333334
2018-03-11,,,,,,73.45833333333333,20.05,709.7875035603842,0.0,43.75,,0.20845833343143264,24.977500041325886,7.754166786869367,109.83333333333333
2018-03-12,,,,,,31.958333333333332,12.333333333333334,716.6750030517578,0.0,36.041666666666664,,0.14637500272753337,15.640416582425436,8.220833341280619,61.791666666666664
2018-03-13,,,,,,36.0,18.8125,715.341667175293,0.0,39.666666666666664,,0.21925000341919562,15.80833331743876,7.600000003973643,86.95833333333333
2018-03-14,,,,,,21.333333333333332,6.823529411764706,715.8666661580404,0.0,76.33333333333333,,0.06374999977803479,13.959583361943563,9.087499916553497,110.375
2018-03-15,,,,,,51.714285714285715,23.833333333333332,710.8086945906929,0.0,72.3913043478261,,0.1824347832361641,17.34999996682872,4.995652167693429,92.52173913043478
2018-03-16,,,,,,64.5,20.94736842105263,708.908327738444,0.0,44.875,,0.21441666882795593,24.46666669845581,5.512499998013179,186.41666666666666
2018-03-17,,,,,,46.708333333333336,14.470588235294118,708.6499938964844,0.0,42.25,,0.227541665158545,26.670416593551636,5.570833345254262,159.45833333333334
2018-03-18,,,,,,55.333333333333336,19.09090909090909,706.8791732788086,0.0,30.25,,0.22220833661655584,28.12458348274231,7.837499911586444,211.33333333333334
2018-03-19,,,,,,52.291666666666664,13.454545454545455,706.8000005086263,0.0,22.083333333333332,,0.2313749990426004,26.515833218892414,7.062500029802322,160.66666666666666
2018-03-20,,,,,,58.458333333333336,15.090909090909092,711.1583379109701,0.0,35.416666666666664,,0.22816666789973775,21.583333253860474,7.604166656732559,105.79166666666667
2018-03-21,,,,,,44.833333333333336,12.3,712.9250055948893,0.0,62.083333333333336,,0.15329166726830104,19.037916779518127,8.749999990065893,80.91666666666667
2018-03-22,,,,,,35.625,10.6,715.0291646321615,0.0,68.58333333333333,,0.08962500056562324,19.62750005722046,6.462500015894572,80.75
2018-03-23,,,,,,43.375,17.041666666666668,712.2291641235352,0.0,64.54166666666667,,0.21708333461234966,22.443750143051147,6.5374999940395355,84.45833333333333
2018-03-24,,,,,,66.0,27.80952380952381,709.1291631062826,0.0,62.666666666666664,,0.15929166642793766,24.21708345413208,4.841666683554649,108.41666666666667
2018-03-25,,,,,,59.041666666666664,31.6,707.7083333333334,0.0,55.666666666666664,,0.19112500125387064,26.55874991416931,5.13333335518837,149.95833333333334
2018-03-26,,,,,,71.83333333333333,30.869565217391305,707.2291666666666,0.0,61.333333333333336,,0.19000000040978193,24.952916622161865,6.683333287636439,108.08333333333333
2018-03-27,,,,,,71.29166666666667,31.818181818181817,707.5874989827474,0.0,59.041666666666664,,0.18549999870204678,25.129583438237507,7.2041666607062025,94.125
2018-03-28,,,,,,74.3913043478261,32.666666666666664,706.6347842009171,0.0,67.3913043478261,,0.12226086879230064,24.215652134107508,7.134782583817191,57.869565217391305
2018-03-29,,,,,,44.0,16.25,710.1708323160807,0.0,40.583333333333336,,0.24375000328291208,24.272083520889282,6.3375000059604645,114.54166666666667
2018-03-30,,,,,,36.125,19.1,714.1666615804037,0.0,28.458333333333332,,0.2419583338390415,23.229999939600628,8.12499996026357,135.58333333333334
2018-03-31,,,,,,38.0,17.142857142857142,713.2583338419596,0.0,47.5,,0.2512499999720603,21.81624988714854,6.354166666666667,67.45833333333333
2018-04-01,,,,,,44.65217391304348,22.0,709.0565185546875,0.0,50.08695652173913,,0.26517391233178583,24.32608712237814,6.1565217660821006,113.91304347826087
2018-04-02,,,,,,61.904761904761905,10.2,706.0166676839193,0.0,55.958333333333336,,0.24079166488566747,25.22416655222575,7.3291667103767395,62.25
2018-04-03,,,,,,72.83333333333333,,706.6291681925455,0.0,54.5,,0.18945833299464235,25.60291663805644,5.008333310484886,83.25
2018-04-04,,,,,,47.0,,713.7124913533529,0.0,63.041666666666664,,0.08004166729127367,18.577083230018616,6.895833323399226,114.41666666666667
2018-04-05,,,,,,70.79166666666667,,712.0249989827474,0.0,65.375,,0.22783333396849534,18.518749992052715,4.9208333144585295,131.0
2018-04-06,,,,,,75.5,,707.0749994913737,0.0,54.583333333333336,,0.2605416706064716,24.80916666984558,4.925000041723251,155.95833333333334
2018-04-07,,,,,,76.58333333333333,,707.5458297729492,0.0,50.0,,0.23770833399612457,23.72208325068156,7.087499976158142,141.79166666666666
2018-04-08,,,,,,36.541666666666664,,708.6333312988281,0.0,57.083333333333336,,0.2585416673294579,19.53458313147227,7.750000019868215,84.125
2018-04-09,,,,,,53.875,,708.5666656494141,0.0,60.125,,0.25100000159970176,22.2912499109904,6.38749997317791,112.70833333333333
2018-04-10,,,,,,29.227272727272727,,716.5500055948893,0.0,82.29166666666667,,0.04804166701311866,16.775833408037823,6.8666666348775225,60.125
2018-04-11,,,,,,28.041666666666668,,714.7916615804037,0.0,76.95833333333333,,0.10212500024742137,17.39750011761983,4.974999969204267,124.45833333333333
2018-04-12,,,,,,53.875,,708.7125015258789,0.0,58.5,,0.26229166608148563,23.732499917348225,5.779166628917058,161.91666666666666
2018-04-13,,,,,,79.38095238095238,,704.6000010172526,0.0,34.208333333333336,,0.30370834046819556,28.769166628519695,6.583333392937978,225.41666666666666
2018-04-14,,,,,,71.84615384615384,,711.0083389282227,0.0,11.958333333333334,,0.2940833327593282,22.471666653951008,7.929166694482167,104.41666666666667
2018-04-15,,,,,,34.333333333333336,,714.9750010172526,0.0,17.666666666666668,,0.31929166440386325,21.604583342870075,6.600000023841858,132.875
2018-04-16,,,,,,54.875,,713.8541615804037,0.0,29.541666666666668,,0.3012500033170606,21.9383331934611,6.604166636864345,88.20833333333333
2018-04-17,,,,,,68.29166666666667,,709.7708307902018,0.0,48.166666666666664,,0.28762500077330816,23.774166703224182,6.81250003973643,74.45833333333333
2018-04-18,,,,,,70.54166666666667,,709.7666727701823,0.0,55.791666666666664,,0.2607499963681524,25.25708309809367,6.779166643818219,70.5
2018-04-19,,,,,,25.833333333333332,,714.6458358764648,0.0,86.75,,0.03287499999472251,19.84499979019165,8.825000067551931,87.66666666666667
2018-04-20,,,,,,26.25,,712.1916656494141,0.0,77.54166666666667,,0.10170833335723728,20.478333314259846,8.25416667262713,107.54166666666667
2018-04-21,,,,,,55.57142857142857,,709.5136358087713,0.0,68.72727272727273,,0.1904090905392712,22.270909222689543,6.009090911258351,81.9090909090909
2018-04-22,,,,,,42.708333333333336,,711.8749974568685,0.0,61.041666666666664,,0.14754166659743836,23.393333435058594,6.374999985098839,125.45833333333333
2018-04-23,,,,,,27.833333333333332,,712.5749994913737,0.0,82.125,,0.04433333388684938,19.57124988238017,7.049999972184499,76.375
2018-04-24,,,,,,30.25,,712.0000050862631,0.0,78.16666666666667,,0.17591666837688535,21.915416717529297,6.766666680574417,89.70833333333333
2018-04-25,,,,,,28.736842105263158,,711.4541702270508,0.0,73.20833333333333,,0.14129166518493244,22.362916707992554,6.895833313465118,71.875
2018-04-26,,,,,29.846153846153847,35.55555555555556,10.75,711.8190452938989,0.0,69.72727272727273,,0.14336363842118194,18.799999887293037,7.068181839856234,93.18181818181819
2018-04-27,,,,,30.791666666666668,23.666666666666668,13.1,712.1499989827474,0.0,71.58333333333333,,0.16504166835026504,20.75541679064433,7.087500035762787,86.875
2018-04-28,,,,,39.583333333333336,16.333333333333332,7.411764705882353,712.6791687011719,0.0,79.79166666666667,,0.097916666243691,18.12416660785675,7.295833329359691,75.69565217391305
2018-04-29,,,,,32.375,18.166666666666668,9.142857142857142,712.5708287556967,0.0,80.625,,0.07687499898020178,17.833333174387615,5.345833331346512,68.70833333333333
2018-04-30,,,,,23.625,23.733333333333334,19.875,711.3499984741211,0.0,80.25,,0.22031250124564394,20.151249885559082,4.887499988079071,212.625
2018-05-01,,,,,28.391304347826086,34.86363636363637,17.785714285714285,708.8173934273098,0.0,67.6086956521739,,0.3032608716748655,25.751739087312117,7.486956560093423,104.17391304347827
2018-05-02,,,,,30.708333333333332,51.958333333333336,26.5,709.408332824707,0.0,67.125,,0.20691666704563735,27.008750120798748,7.30416668454806,91.66666666666667
2018-05-03,,8.460000069936116,11.513333384195963,19.940000025431313,29.541666666666668,75.58333333333333,34.18181818181818,709.7249984741211,0.0,64.54166666666667,,0.15125000022817403,27.150416771570843,5.316666672627131,83.54166666666667
2018-05-04,,26.366666813691456,10.050000071525574,36.420833468437195,17.166666666666668,59.291666666666664,26.47826086956522,711.4166692097982,0.0,74.5,,0.06874999962747097,23.606250047683716,5.741666704416275,74.45833333333333
2018-05-05,,78.35000069936116,11.737499992052713,90.06249968210857,17.541666666666668,21.708333333333332,13.6,714.6125005086263,0.0,89.58333333333333,,0.06095833292541405,19.06208332379659,2.7916666517655053,112.29166666666667
2018-05-06,,117.35000069936116,8.787500063578287,126.11666679382324,30.956521739130434,34.375,,714.6166661580404,0.0,64.82608695652173,,0.2667916672459493,23.81458322207133,4.969565236050149,143.91666666666666
2018-05-07,,94.07916736602783,9.78750005364418,103.82499980926514,34.125,50.5,,714.6041666666666,0.0,61.583333333333336,,0.1876249989727512,23.539583285649616,6.1708333392937975,98.20833333333333
2018-05-08,,44.799999952316284,10.925000031789144,55.70000012715658,39.625,46.25,,712.658327738444,0.0,52.041666666666664,,0.322083333778816,23.951666514078777,6.741666664679845,132.33333333333334
2018-05-09,,78.50833336512248,9.279166668653488,87.74583371480306,32.5,47.333333333333336,,711.0749994913737,0.0,61.875,,0.2862083332923551,23.380833228429157,7.416666691501935,87.91666666666667
2018-05-10,,97.54583263397217,7.76666663090388,105.27083396911621,32.291666666666664,39.875,,710.9166717529297,0.0,62.5,,0.27079166712549824,23.87124975522359,8.337500015894571,88.16666666666667
2018-05-11,,101.26666720708211,9.05416664481163,110.26250044504802,33.333333333333336,45.625,,709.8291625976562,0.0,63.375,,0.25600000307895243,24.020416657129925,7.158333381017049,96.21739130434783
2018-05-12,,121.13333352406819,9.104166686534882,130.19583384195963,38.291666666666664,51.125,,709.5500055948893,0.0,66.25,,0.24983333237469196,24.703750212987263,6.966666718324025,95.45833333333333
2018-05-13,,156.10416762034097,5.458333303531011,161.46249930063883,32.75,38.333333333333336,,710.1250050862631,0.0,67.04166666666667,,0.23658333074611923,26.113749980926514,8.066666702429453,90.83333333333333
2018-05-14,,97.42916711171468,5.3333333532015486,102.7166674931844,26.041666666666668,33.125,,709.8208338419596,0.0,70.70833333333333,,0.1890000019532939,25.676249821980793,8.058333297570547,87.08333333333333
2018-05-15,,115.64583349227905,8.758333384990692,124.35416666666667,30.375,40.708333333333336,,709.7958297729492,0.0,64.08333333333333,,0.2881250010492901,26.416250069936115,7.383333345254262,101.375
2018-05-16,,59.43333373467127,6.079166680574417,65.4625004529953,33.125,39.166666666666664,,709.8208389282227,0.0,59.291666666666664,,0.3019999992490436,27.602916797002155,7.512500037749608,90.875
2018-05-17,,7.537500023841858,6.454166730244954,13.941666662693024,28.041666666666668,48.458333333333336,,708.6833318074545,0.0,56.833333333333336,,0.31674999856234837,27.90625015894572,7.745833312471707,89.04166666666667
2018-05-18,,6.262499988079071,5.904166638851166,12.179166714350382,30.958333333333332,49.208333333333336,,706.5749944051107,0.0,57.5,,0.307166665714855,26.604166746139526,9.037500073512396,87.33333333333333
2018-05-19,,4.999999980131785,4.4458333651224775,9.491666634877523,30.583333333333332,40.125,,706.7374954223633,0.0,58.708333333333336,,0.2945416643439482,25.402083317438763,8.720833400885263,82.70833333333333
2018-05-20,,4.254166642824809,2.104166679084301,6.40833334128062,28.458333333333332,34.083333333333336,,708.9166742960612,0.0,71.625,,0.11858333270841588,24.69208335876465,8.587500035762787,98.41666666666667
2018-05-21,,5.104166656732559,4.462500020861626,9.549999992052713,37.833333333333336,23.25,,710.1874923706055,0.0,66.125,,0.1975416667216147,24.226666688919067,7.9250000814596815,103.625
2018-05-22,,4.954166650772095,2.8083333472410836,7.7541666229565935,23.5,19.208333333333332,,709.6791661580404,0.0,75.04166666666667,,0.20245833143902323,24.425000111262005,9.26666671037674,88.08333333333333
2018-05-23,,5.34583334128062,2.8083333177492023,8.129166642824808,17.833333333333332,17.235294117647058,17.444444444444443,710.6916681925455,0.0,78.375,,0.09833333354132871,23.520000060399372,8.56666668256124,86.16666666666667
2018-05-24,,5.045833309491475,2.908333346247673,7.887499988079071,24.166666666666668,22.458333333333332,10.68421052631579,711.8250020345052,0.0,67.16666666666667,,0.2605833368143067,25.926666657129925,8.016666650772095,87.91666666666667
2018-05-25,,6.062499900658925,4.516666665673256,10.524999996026358,29.791666666666668,37.59090909090909,14.470588235294118,710.5541687011719,0.0,60.25,,0.3106666685392459,27.66374985376994,7.258333389957746,84.54166666666667
2018-05-26,,5.699999948342641,4.9875000069538755,10.59583330154419,39.458333333333336,22.0,13.0,708.4874979654948,0.0,50.958333333333336,,0.3348333366836111,28.939583381017048,7.533333291610082,122.375
