,SUROESTE2,SUROESTE2,SUROESTE2,SUROESTE2,SUROESTE2,SUROESTE2,SUROESTE2,SUROESTE2,SUROESTE2,SUROESTE2,SUROESTE2,SUROESTE2,SUROESTE2,SUROESTE2,SUROESTE2
,CO,NO,NO2,NOX,O3,PM10,PM2.5,PRS,RAINF,RH,SO2,SR,TOUT,WSR,WDR
,ppm,ppb,ppb,ppb,ppb,ug/m3,ug/m3,mmhg,mm/hr,%,ppb,KW/m2,DegC,km/hr,Deg
Date,,,,,,,,,,,,,,,
2015-01-01,2.32625,15.283333333333333,6.445833333333333,21.729166666666668,,44.25,21.75,715.125,,93.125,3.0782608695652174,0.08581818181818182,5.451249999999999,3.5791666666666657,95.75
2015-01-02,2.43875,22.0,6.304166666666667,28.304166666666664,,62.2,20.58823529411765,714.0291666666668,,93.66666666666667,3.2208333333333337,0.062272727272727264,5.519583333333333,3.3041666666666667,105.91666666666667
2015-01-03,3.0220833333333332,29.862499999999997,10.425,40.2875,,106.66666666666667,35.09090909090909,714.0541666666667,,88.58333333333333,3.3950000000000005,0.1393,8.19,2.525,151.79166666666666
2015-01-04,2.420416666666666,14.379166666666668,7.329166666666667,21.708333333333332,25.333333333333332,64.33333333333333,34.2,717.5208333333334,,62.416666666666664,4.2875000000000005,0.27036363636363636,12.195,5.291666666666666,146.33333333333334
2015-01-05,2.2966666666666664,12.81304347826087,10.879166666666668,23.383333333333336,22.25,62.142857142857146,17.818181818181817,718.8499999999999,,70.16666666666667,5.345833333333334,0.2002727272727273,9.600833333333336,4.595833333333334,104.58333333333333
2015-01-06,2.792916666666667,16.604166666666664,16.695833333333333,33.3,23.0,109.45833333333333,28.545454545454547,717.4625,,72.08333333333333,6.1499999999999995,0.26809090909090905,12.206249999999999,3.3333333333333335,130.16666666666666
2015-01-07,2.6962499999999996,15.575000000000003,10.216666666666667,25.791666666666668,19.4,82.30434782608695,24.0625,718.0416666666669,,83.25,4.233333333333333,0.17909090909090908,12.281666666666668,4.725,129.08333333333334
2015-01-08,2.3620833333333335,11.991666666666669,7.879166666666667,19.87083333333333,23.0,59.04545454545455,21.11111111111111,718.1,,83.25,3.0333333333333328,0.10981818181818181,3.964583333333334,5.3083333333333345,98.79166666666667
2015-01-09,2.6620833333333334,19.57916666666667,9.345833333333333,28.924999999999994,,87.79166666666667,28.0,716.7041666666665,,88.95833333333333,3.3291666666666657,0.059272727272727276,5.410833333333333,4.129166666666667,116.0
2015-01-10,2.5075,16.833333333333332,7.520833333333333,24.354166666666668,,34.125,15.333333333333334,716.8291666666665,,93.83333333333333,3.304166666666667,0.07590909090909091,3.745833333333333,4.7,99.16666666666667
2015-01-11,2.78375,18.629166666666666,10.254166666666665,28.883333333333326,23.8,76.16666666666667,26.35,715.4791666666666,,82.54166666666667,4.2875,0.32158333333333333,9.732083333333334,2.691666666666667,135.91666666666666
2015-01-12,2.7895833333333333,16.966666666666665,11.524999999999999,28.491666666666678,29.181818181818183,108.9090909090909,29.0,715.6624999999999,,69.91666666666667,10.970833333333333,0.302,14.06333333333333,5.020833333333333,159.83333333333334
2015-01-13,2.372083333333333,11.691666666666665,5.6125,17.304166666666667,19.25,21.1,14.0,716.7833333333333,,92.29166666666667,3.6833333333333336,0.06463636363636364,6.791666666666665,6.758333333333333,98.45833333333333
2015-01-14,2.6199999999999997,17.40833333333333,6.170833333333333,23.579166666666666,,27.0,16.25,716.1083333333335,,93.66666666666667,3.7,0.04890909090909091,5.2245833333333325,4.4125,101.375
2015-01-15,2.701666666666666,17.65833333333333,7.341666666666668,25.0,,60.82608695652174,18.583333333333332,716.9249999999998,,83.16666666666667,4.2749999999999995,0.17850000000000002,7.307083333333334,3.558333333333333,106.25
2015-01-16,2.91,17.2375,11.820833333333333,29.058333333333334,26.0,100.25,24.375,716.8583333333332,,68.875,6.870833333333333,0.2836666666666667,10.97375,3.1166666666666667,163.125
2015-01-17,3.170416666666666,11.991666666666665,17.387499999999996,29.379166666666663,33.22222222222222,144.83333333333334,34.80952380952381,715.4416666666666,,62.166666666666664,10.125,0.2609166666666667,15.72125,3.2750000000000004,165.83333333333334
2015-01-18,2.5695833333333336,6.970833333333334,9.020833333333332,15.991666666666665,27.22222222222222,64.82608695652173,24.444444444444443,717.0166666666665,,46.083333333333336,7.141666666666667,0.15358333333333332,15.472083333333332,4.083333333333333,132.91666666666666
2015-01-19,2.912916666666666,12.358333333333336,13.687500000000002,26.045833333333334,27.77777777777778,99.125,26.055555555555557,714.8958333333334,,54.083333333333336,7.891666666666666,0.23883333333333334,17.688750000000002,2.8083333333333336,206.0
2015-01-20,2.6283333333333334,10.208333333333332,8.745833333333332,18.95416666666667,28.692307692307693,58.91304347826087,21.555555555555557,713.8083333333335,,49.625,7.887500000000002,0.35341666666666666,20.299583333333334,2.991666666666667,209.16666666666666
2015-01-21,2.8745833333333324,14.89166666666666,9.704166666666667,24.59583333333333,23.0,95.16666666666667,28.333333333333332,713.3958333333335,,69.0,9.791666666666666,0.2413636363636364,17.725416666666664,4.033333333333334,143.5
2015-01-22,2.7600000000000002,10.6,7.966666666666668,18.56666666666667,16.6,70.86363636363636,24.833333333333332,713.9541666666668,,89.58333333333333,5.579166666666667,0.0512,13.206666666666669,5.845833333333332,106.83333333333333
2015-01-23,2.5316666666666667,8.258333333333335,6.791666666666665,15.049999999999997,17.571428571428573,47.8,18.0,716.1833333333334,,74.375,4.341666666666666,0.23908333333333334,8.538750000000002,5.537499999999999,133.47826086956522
2015-01-24,2.975,14.608333333333333,13.249999999999998,27.85833333333333,16.285714285714285,89.91304347826087,22.72222222222222,716.4583333333331,,66.58333333333333,6.125,0.20316666666666663,9.885833333333332,2.6083333333333334,154.5
2015-01-25,2.8137500000000006,11.274999999999999,10.020833333333334,21.29583333333333,22.9,84.17391304347827,21.583333333333332,715.5416666666669,,51.166666666666664,8.420833333333334,0.21483333333333332,14.089166666666669,3.6916666666666664,180.33333333333334
2015-01-26,2.938333333333333,14.7875,12.524999999999997,27.312500000000004,25.1,86.41666666666667,17.466666666666665,716.5500000000001,,39.166666666666664,13.304166666666665,0.2558333333333334,16.40416666666667,3.8958333333333326,124.20833333333333
2015-01-27,2.92375,9.900000000000002,12.704166666666671,22.604166666666668,43.06666666666667,108.16666666666667,23.842105263157894,716.0166666666668,,43.375,11.941666666666668,0.33733333333333326,18.27791666666667,3.391666666666666,177.5
2015-01-28,2.8575,7.841666666666666,11.045833333333334,18.8875,32.63636363636363,89.91304347826087,20.8,715.3375,,49.166666666666664,9.791666666666666,0.2798333333333334,18.454583333333336,3.3416666666666672,178.95833333333334
2015-01-29,3.017083333333334,11.579166666666666,12.041666666666664,23.620833333333334,32.875,122.0,27.61904761904762,715.5541666666667,,56.666666666666664,15.575000000000001,0.3320833333333333,18.365416666666672,4.183333333333333,153.70833333333334
2015-01-30,2.702083333333334,7.645833333333333,6.704166666666667,14.349999999999996,16.785714285714285,60.54545454545455,21.454545454545453,716.0458333333332,,84.91666666666667,7.770833333333335,0.1148333333333333,16.06,7.158333333333332,88.83333333333333
2015-01-31,2.9654166666666666,11.950000000000001,8.262500000000001,20.212500000000002,17.125,42.95652173913044,20.4,713.975,,87.20833333333333,5.054166666666667,0.10563636363636365,15.028333333333334,3.9416666666666678,113.66666666666667
2015-02-01,3.0020833333333337,13.208333333333334,7.666666666666667,20.875,14.333333333333334,69.43478260869566,28.384615384615383,713.7708333333331,,77.58333333333333,7.458333333333335,0.12649999999999997,16.919999999999998,3.141666666666667,213.52173913043478
2015-02-02,2.5841666666666665,6.4125000000000005,6.487499999999998,12.9,18.8,20.27777777777778,14.5,716.4666666666666,,82.75,7.091666666666665,0.06175,7.967500000000001,6.425,115.29166666666667
2015-02-03,3.1033333333333335,17.104166666666668,9.754166666666668,26.858333333333334,17.666666666666668,43.31818181818182,19.916666666666668,715.7125000000001,,91.04166666666667,6.6916666666666655,0.11763636363636362,6.393750000000001,4.391666666666667,126.25
