,SUROESTE,SUROESTE,SUROESTE,SUROESTE,SUROESTE,SUROESTE,SUROESTE,SUROESTE,SUROESTE,SUROESTE,SUROESTE,SUROESTE,SUROESTE,SUROESTE,SUROESTE
,CO,NO,NO2,NOX,O3,PM10,PM2.5,PRS,RAINF,RH,SO2,SR,TOUT,WSR,WDR
,ppm,ppb,ppb,ppb,ppb,ug/m3,ug/m3,mmhg,mm/hr,%,ppb,KW/m2,DegC,km/hr,Deg
Date,,,,,,,,,,,,,,,
2015-01-01,,,,,,68.70833333333333,,703.5375,,88.83333333333333,,0.035541666666666666,4.92125,5.4875,92.91666666666667
2015-01-02,,,,,,72.91666666666667,,700.8583333333332,0.01,89.75,,0.03209090909090909,4.900416666666666,5.304166666666666,130.66666666666666
2015-01-03,,,,,,167.58333333333334,,700.975,,85.08333333333333,,0.06399999999999997,7.641666666666666,4.250000000000001,174.125
2015-01-04,,,,,,84.91666666666667,,709.4333333333334,,62.666666666666664,,0.11716666666666666,11.427916666666668,9.858333333333333,177.91666666666666
2015-01-05,,,,,,71.16666666666667,,712.6041666666669,,69.91666666666667,,0.0907083333333333,9.050416666666667,7.162499999999999,117.70833333333333
2015-01-06,,,,,,148.5,,709.2833333333333,,70.79166666666667,,0.11679166666666664,12.082083333333335,4.604166666666666,165.83333333333334
2015-01-07,,,,,,141.0,,710.6541666666667,0.01,81.5,,0.07312499999999998,11.623750000000001,9.716666666666667,157.83333333333334
2015-01-08,,,,,,74.16666666666667,,710.7625000000002,0.01,80.41666666666667,,0.05428571428571427,3.3270833333333343,9.654166666666667,107.58333333333333
2015-01-09,,,,,,135.25,,707.4000000000001,0.0125,84.95833333333333,,0.025818181818181817,4.73,6.604166666666667,155.0
2015-01-10,,,,,,40.833333333333336,,707.6749999999998,0.025,88.875,,0.027333333333333334,3.19125,7.320833333333332,91.66666666666667
2015-01-11,,,,,,103.33333333333333,,704.4125,,79.91666666666667,,0.1492083333333333,9.545,4.279166666666668,163.75
2015-01-12,,,,,,154.16666666666666,,704.9166666666666,,70.41666666666667,,0.13824999999999996,13.533333333333333,8.495833333333334,189.58333333333334
2015-01-13,,,,,,33.666666666666664,,707.5541666666667,0.01,87.58333333333333,,0.02504166666666667,6.30375,12.8125,115.125
2015-01-14,,,,,,43.958333333333336,,705.9374999999999,,88.20833333333333,,0.02771428571428572,4.7174999999999985,7.854166666666668,110.91666666666667
2015-01-15,,,,,,81.29166666666667,,707.9916666666667,0.01,80.79166666666667,,0.06939130434782606,6.78375,5.224999999999999,100.58333333333333
2015-01-16,,,,,,155.375,,707.8208333333333,,68.79166666666667,,0.13220833333333332,10.229583333333332,4.341666666666668,188.375
2015-01-17,,,,,,214.58333333333334,,704.4166666666665,,62.125,,0.11737500000000001,15.320833333333333,4.3875,188.54166666666666
2015-01-18,,,,,,104.83333333333333,,708.2125000000001,,47.166666666666664,,0.07666666666666665,14.91708333333333,6.4416666666666655,157.125
2015-01-19,,,,,,192.375,,703.0958333333332,,53.125,,0.12199999999999996,17.381249999999998,4.883333333333332,242.91666666666666
2015-01-20,,,,,,209.08333333333334,,700.5833333333334,,51.5,,0.1588333333333333,20.232499999999998,4.741666666666668,209.08333333333334
2015-01-21,,,,,,181.83333333333334,,699.4333333333333,,69.95833333333333,,0.12491666666666666,17.136666666666667,8.495833333333334,187.70833333333334
2015-01-22,,,,,,83.83333333333333,,700.8541666666666,0.01,88.375,,0.013541666666666667,12.61125,8.945833333333335,115.54166666666667
2015-01-23,,,,,,58.291666666666664,,706.1583333333333,0.01,72.375,,0.14362499999999997,8.064166666666663,10.299999999999999,142.91666666666666
2015-01-24,,,,,,156.875,,706.8249999999999,,65.875,,0.09326086956521737,9.182916666666666,3.25,172.54166666666666
2015-01-25,,,,,,127.25,,704.6791666666667,,50.875,,0.10445833333333328,13.518333333333333,5.120833333333334,181.0
2015-01-26,,,,,,132.95833333333334,,707.1416666666669,,42.041666666666664,,0.11845833333333329,15.647083333333335,6.2875000000000005,190.20833333333334
2015-01-27,,,,,,178.25,,705.8625000000002,,43.333333333333336,,0.152875,17.74541666666666,5.862500000000002,190.41666666666666
2015-01-28,,,,,,199.375,,704.1833333333334,,49.625,,0.12691666666666662,17.931250000000002,5.5874999999999995,199.45833333333334
2015-01-29,,,,,,204.5,,704.6708333333335,,56.875,,0.14987499999999998,17.729583333333334,7.920833333333334,194.375
2015-01-30,,,,,,69.25,,705.8375000000001,0.0125,82.375,,0.0780833333333333,15.6875,14.35,107.16666666666667
2015-01-31,,,,,,64.79166666666667,,700.8375,0.07250000000000001,84.54166666666667,,0.06041666666666664,14.682083333333336,6.945833333333333,148.29166666666666
2015-02-01,,,,,,125.8,,700.3874999999998,0.03,75.95833333333333,,0.059916666666666646,16.325416666666666,5.962500000000001,216.45833333333334
2015-02-02,,,,,,43.27272727272727,14.5,706.7916666666669,0.03,81.125,,0.03133333333333333,7.062083333333335,12.4625,133.70833333333334
2015-02-03,,,,,,55.5,34.42857142857143,704.9958333333334,0.0275,87.125,,0.05141666666666664,5.9025,7.745833333333333,149.25
2015-02-04,,,,,,137.45833333333334,59.26086956521739,702.6833333333334,,65.875,,0.17358333333333342,14.326666666666668,6.675,231.45833333333334
2015-02-05,,,,,,129.54166666666666,37.19047619047619,707.4458333333332,,76.58333333333333,,0.056374999999999974,11.160000000000002,9.5875,151.45833333333334
2015-02-06,,,,,,99.83333333333333,38.52173913043478,708.2416666666667,,82.83333333333333,,0.10616666666666663,10.392916666666668,6.004166666666667,111.41666666666667
2015-02-07,,,,,,179.58333333333334,55.708333333333336,703.6333333333333,,69.91666666666667,,0.16204166666666664,14.648333333333335,4.9833333333333325,186.04166666666666
2015-02-08,,,,,,127.5,37.2,700.3375000000001,,36.833333333333336,,0.18462500000000007,20.64125,7.420833333333333,251.41666666666666
2015-02-09,,,,,,127.125,29.45,703.5333333333334,,36.125,,0.17491666666666672,20.03375,7.683333333333333,182.25
2015-02-10,,,,,,180.33333333333334,34.95652173913044,701.3791666666667,,46.625,,0.17175000000000007,18.175833333333333,6.316666666666666,186.41666666666666
2015-02-11,,,,,,182.95833333333334,42.4,699.6583333333333,,53.791666666666664,,0.16599999999999998,18.31916666666667,8.045833333333333,185.54166666666666
2015-02-12,,,,,,44.625,16.6875,706.0875,0.05625000000000001,87.33333333333333,,0.037333333333333336,12.500416666666665,14.058333333333332,117.75
2015-02-13,,,,,,93.04166666666667,38.36363636363637,707.9583333333334,,85.33333333333333,,0.05991666666666664,10.737083333333333,7.683333333333333,125.20833333333333
2015-02-14,,,,,,129.33333333333334,55.25,706.4958333333334,0.01,86.66666666666667,,0.02783333333333334,12.685,4.254166666666666,161.08333333333334
2015-02-15,,,,,,132.5,68.04166666666667,702.0375,,84.08333333333333,,0.09799999999999998,15.501666666666667,4.437500000000001,188.375
2015-02-16,,,,,,120.25,40.4,699.1374999999999,0.03,62.458333333333336,,0.11691666666666663,18.84875,10.625,218.20833333333334
2015-02-17,,,,,,91.875,29.63157894736842,704.4791666666666,,75.375,,0.034833333333333334,8.0225,6.933333333333336,109.91666666666667
2015-02-18,,,,,,90.125,28.833333333333332,707.25,,64.70833333333333,,0.18104166666666674,11.330833333333333,6.625,134.0
2015-02-19,,,,,,145.91666666666666,39.69565217391305,705.4625,,65.45833333333333,,0.17104166666666673,12.87083333333333,5.3,144.16666666666666
2015-02-20,,,,,,204.66666666666666,50.041666666666664,699.3833333333333,,67.54166666666667,,0.17758333333333343,16.56125,5.0125,181.33333333333334
2015-02-21,,,,,,185.0,50.13636363636363,697.9166666666666,,50.083333333333336,,0.1820833333333334,21.83208333333333,7.3833333333333355,183.83333333333334
2015-02-22,,,,,,137.83333333333334,33.56521739130435,700.3291666666668,,60.375,,0.15441666666666662,21.444583333333338,6.650000000000001,180.0
2015-02-23,,,,,,55.916666666666664,21.444444444444443,706.7083333333334,0.01,86.79166666666667,,0.04416666666666664,8.520833333333332,13.891666666666667,113.08333333333333
