,NORESTE,NORESTE,NORESTE,NORESTE,NORESTE,NORESTE,NORESTE,NORESTE,NORESTE,NORESTE,NORESTE,NORESTE,NORESTE,NORESTE,NORESTE
,CO,NO,NO2,NOX,O3,PM10,PM2.5,PRS,RAINF,RH,SO2,SR,TOUT,WSR,WDR
,ppm,ppb,ppb,ppb,ppb,ug/m3,ug/m3,mmhg,mm/hr,%,ppb,KW/m2,DegC,km/hr,Deg
Date,,,,,,,,,,,,,,,
2015-01-01,2.4345833333333333,10.166666666666666,11.845833333333333,22.0125,8.333333333333334,38.041666666666664,21.88888888888889,722.8708333333333,0.011666666666666667,95.08333333333333,2.540909090909091,0.07064285714285713,5.267500000000001,5.295833333333333,170.95833333333334
2015-01-02,2.4695833333333326,17.758333333333333,12.895833333333336,30.65416666666667,5.75,34.166666666666664,21.166666666666668,720.1208333333334,0.01,93.79166666666667,2.829166666666667,0.05633333333333334,5.795000000000001,3.645833333333334,60.583333333333336
2015-01-03,3.209583333333334,51.6875,20.204166666666662,71.89166666666667,8.041666666666666,76.04166666666667,44.0,719.9583333333334,,90.08333333333333,3.0291666666666663,0.09974999999999999,8.403333333333334,2.829166666666666,167.25
2015-01-04,3.1108333333333333,51.29166666666666,22.8,74.09166666666665,16.583333333333332,99.41666666666667,41.05555555555556,728.4166666666666,0.01,70.91666666666667,4.404166666666668,0.21666666666666665,11.897916666666667,5.958333333333333,178.08333333333334
2015-01-05,2.4787499999999993,10.741666666666667,21.162499999999998,31.90416666666667,21.875,65.91666666666667,19.65,732.0333333333333,,72.20833333333333,3.8958333333333335,0.18116666666666667,9.694999999999999,7.304166666666666,99.375
2015-01-06,3.005416666666667,27.025000000000002,40.37916666666666,67.40416666666665,17.791666666666668,109.83333333333333,33.391304347826086,728.3041666666667,,73.625,8.541666666666666,0.23136363636363635,12.164166666666667,4.366666666666666,96.20833333333333
2015-01-07,2.73,25.987500000000008,24.583333333333332,50.570833333333326,14.875,53.63636363636363,24.19047619047619,729.8041666666668,0.015000000000000001,85.66666666666667,5.720833333333332,0.1713333333333333,12.4475,6.233333333333333,230.1304347826087
2015-01-08,2.4817391304347827,9.195652173913045,18.356521739130436,26.995833333333334,18.958333333333332,50.458333333333336,16.40909090909091,730.5041666666666,,79.08333333333333,3.079166666666667,0.05625,4.692083333333334,7.162499999999998,148.34782608695653
2015-01-09,2.726666666666667,18.6125,24.279166666666672,42.89166666666667,8.666666666666666,53.958333333333336,20.40909090909091,726.7999999999998,0.04,88.16666666666667,2.377272727272727,0.04427272727272727,5.662916666666665,5.612500000000001,327.7083333333333
2015-01-10,2.608333333333334,13.241666666666665,17.51666666666667,30.75833333333333,8.666666666666666,20.666666666666668,12.142857142857142,727.2583333333332,0.01888888888888889,93.29166666666667,2.5142857142857147,0.05590909090909091,3.8416666666666663,5.258333333333334,222.08333333333334
2015-01-11,3.034583333333334,25.087499999999995,26.212499999999995,51.300000000000004,14.333333333333334,18.666666666666668,32.0,723.4458333333333,0.01,84.25,4.069565217391305,0.3018181818181818,9.184999999999999,3.779166666666667,141.0
2015-01-12,3.986666666666667,101.61249999999997,32.508333333333326,134.12083333333334,22.333333333333332,121.61538461538461,52.5,723.7708333333334,,77.25,7.0874999999999995,0.322,13.496250000000002,6.1916666666666655,171.0
2015-01-13,2.682608695652174,15.234782608695657,15.791304347826088,31.026086956521734,7.956521739130435,22.782608695652176,12.0625,727.1565217391304,0.01916666666666667,93.08695652173913,2.847826086956522,0.0015,6.746086956521737,7.191304347826088,211.8695652173913
2015-01-14,2.7424999999999997,18.558333333333337,15.14583333333333,33.70416666666666,6.166666666666667,18.958333333333332,13.071428571428571,725.3708333333334,0.014444444444444446,94.41666666666667,2.895833333333334,0.03533333333333335,5.528333333333333,5.170833333333333,138.33333333333334
2015-01-15,2.7470833333333338,15.354166666666664,17.95833333333333,33.3125,9.666666666666666,45.875,16.3125,727.2083333333334,0.01,78.95833333333333,3.020833333333334,0.20140000000000002,8.182500000000001,6.587499999999999,255.625
2015-01-16,3.394166666666667,57.62083333333333,34.13333333333333,91.75416666666668,16.291666666666668,134.20833333333334,28.347826086956523,726.7708333333334,,70.25,4.129166666666667,0.289,11.847499999999997,3.3833333333333333,150.29166666666666
2015-01-17,3.984999999999999,57.43333333333334,58.354166666666664,115.78750000000001,24.208333333333332,218.75,59.08695652173913,722.9625,,66.25,4.558333333333333,0.26516666666666666,16.337916666666665,3.0208333333333335,131.20833333333334
2015-01-18,3.0416666666666665,12.945833333333335,29.30416666666667,42.25000000000001,26.375,84.58333333333333,35.4375,726.9041666666666,,45.666666666666664,5.8500000000000005,0.15364285714285714,16.69125,5.333333333333333,210.3913043478261
2015-01-19,3.79625,55.60416666666666,52.56666666666666,108.17083333333333,19.375,194.83333333333334,36.82608695652174,721.5,,55.166666666666664,4.745833333333334,0.18607142857142858,18.120416666666664,3.8208333333333333,184.04166666666666
2015-01-20,3.933333333333334,73.83749999999999,43.0625,116.90000000000002,20.0,203.79166666666666,35.130434782608695,718.5,,56.166666666666664,4.454166666666667,0.31024999999999997,21.597083333333334,5.0791666666666675,176.33333333333334
2015-01-21,3.2429166666666673,25.629166666666666,29.3875,55.01666666666665,18.0,118.5,30.363636363636363,717.8208333333332,,75.5,7.079166666666667,0.2549090909090909,18.366249999999997,6.0874999999999995,162.0
2015-01-22,2.891666666666666,7.008333333333334,14.862499999999999,21.870833333333334,16.208333333333332,56.083333333333336,17.75,719.6124999999998,0.01,88.04166666666667,2.870833333333333,0.08075,13.157083333333333,10.208333333333336,243.6086956521739
2015-01-23,2.8266666666666667,7.683333333333334,16.3125,23.995833333333334,20.458333333333332,40.916666666666664,14.615384615384615,725.3958333333335,,70.875,2.2590909090909093,0.19425000000000003,8.912916666666666,11.10416666666667,252.875
2015-01-24,3.50125,34.3375,38.27083333333333,72.60833333333332,18.166666666666668,96.58333333333333,32.68181818181818,725.8666666666664,,66.66666666666667,3.658333333333333,0.19641666666666666,10.286666666666667,4.108333333333333,184.25
2015-01-25,4.047083333333333,64.46250000000002,38.1,102.5625,14.541666666666666,131.41666666666666,37.26086956521739,723.3291666666664,,50.5,3.2541666666666664,0.15519999999999998,14.692083333333336,3.5458333333333325,238.20833333333334
2015-01-26,3.860416666666667,70.925,33.1125,104.03750000000001,21.125,123.625,22.8,725.8291666666665,,41.166666666666664,5.175,0.214,16.990833333333338,4.945833333333333,171.5
2015-01-27,3.5766666666666667,39.33333333333333,43.82083333333335,83.15416666666667,24.125,120.125,27.82608695652174,724.3249999999999,,42.166666666666664,7.395833333333333,0.2717857142857143,19.471666666666668,4.541666666666667,214.125
2015-01-28,3.933333333333334,64.31666666666669,45.61249999999999,109.92916666666667,22.291666666666668,152.08333333333334,36.041666666666664,722.5749999999999,,49.125,6.883333333333334,0.24653846153846148,19.257916666666667,5.0625,182.08333333333334
2015-01-29,3.370416666666666,23.004166666666666,31.17916666666667,54.18333333333334,21.791666666666668,105.16666666666667,23.708333333333332,723.2166666666667,,62.25,6.55,0.22841176470588234,18.868333333333336,5.45,171.04166666666666
2015-01-30,3.135833333333333,7.987500000000001,16.104166666666668,24.09166666666667,20.416666666666668,65.58333333333333,18.045454545454547,724.85,0.01,88.54166666666667,4.05,0.0819230769230769,16.586666666666666,9.616666666666669,86.375
2015-01-31,3.5354166666666664,21.98333333333333,23.55416666666667,45.537499999999994,14.333333333333334,60.25,25.272727272727273,719.4458333333333,0.0425,91.95833333333333,3.345833333333332,0.0675,15.470833333333333,5.675,108.0
2015-02-01,2.535416666666667,25.825,32.05416666666667,57.879166666666656,9.041666666666666,95.375,29.956521739130434,718.5500000000001,0.01,82.45833333333333,3.191666666666666,0.138,17.818749999999998,3.883333333333333,265.5416666666667
2015-02-02,1.9058333333333337,8.445833333333335,21.495833333333334,29.941666666666674,18.083333333333332,25.208333333333332,13.625,726.1625,0.02923076923076923,84.33333333333333,3.7700000000000005,0.11408333333333333,8.512499999999998,7.1499999999999995,218.75
