,NOROESTE2,NOROESTE2,NOROESTE2,NOROESTE2,NOROESTE2,NOROESTE2,NOROESTE2,NOROESTE2,NOROESTE2,NOROESTE2,NOROESTE2,NOROESTE2,NOROESTE2,NOROESTE2,NOROESTE2
,CO,NO,NO2,NOX,O3,PM10,PM2.5,PRS,RAINF,RH,SO2,SR,TOUT,WSR,WDR
,ppm,ppb,ppb,ppb,ppb,ug/m3,ug/m3,mmhg,mm/hr,%,ppb,KW/m2,DegC,km/hr,Deg
Date,,,,,,,,,,,,,,,
2015-01-01,,,,,5.708333333333333,51.63636363636363,,703.0374999999999,,89.08333333333333,,0.0614,5.460000000000001,6.875,
2015-01-02,,,,,3.625,52.875,,700.3708333333333,,88.91666666666667,,0.061416666666666675,5.515833333333333,6.2375,
2015-01-03,,,,,4.25,144.08695652173913,,700.5416666666666,,85.70833333333333,,0.09735714285714284,8.184166666666668,3.958333333333334,
2015-01-04,,,,,18.583333333333332,64.36363636363636,,709.0083333333333,,63.791666666666664,,0.20523076923076922,10.949166666666665,10.012500000000001,
2015-01-05,,,,,19.833333333333332,63.375,,712.1666666666665,,68.0,,0.2019166666666666,9.310000000000002,7.470833333333335,
2015-01-06,,,,,13.666666666666666,157.83333333333334,,708.85,,67.66666666666667,,0.24108333333333334,12.640833333333331,5.441666666666666,
2015-01-07,,,,,14.25,100.63636363636364,,710.1999999999999,,79.625,,0.12699999999999997,12.135,8.633333333333333,
2015-01-08,,,,,14.208333333333334,74.0,,710.1958333333333,,79.91666666666667,,0.10009090909090909,3.8754166666666667,10.420833333333336,
2015-01-09,,,,,6.708333333333333,121.56521739130434,,706.8541666666666,,84.83333333333333,,0.039466666666666664,5.304166666666666,7.241666666666667,
2015-01-10,,,,,7.25,23.863636363636363,,707.1666666666666,,89.83333333333333,,0.030894736842105266,3.59,7.095833333333332,
2015-01-11,,,,,11.791666666666666,133.5,,703.8541666666666,,74.95833333333333,,0.283,10.825833333333334,5.708333333333333,
2015-01-12,,,,,19.208333333333332,124.75,,704.5875000000001,,69.29166666666667,,0.20668749999999997,13.675833333333332,8.879166666666666,
2015-01-13,,,,,8.666666666666666,25.4,,707.1374999999999,,89.41666666666667,,0.026000000000000002,6.237083333333332,12.629166666666663,
2015-01-14,,,,,4.416666666666667,18.217391304347824,,705.4458333333333,,90.45833333333333,,0.023100000000000002,4.793333333333333,8.404166666666667,
2015-01-15,,,,,9.458333333333334,59.578947368421055,,707.4625000000001,,73.79166666666667,,0.16213333333333335,8.325833333333332,9.229166666666666,
2015-01-16,,,,,12.208333333333334,132.04166666666666,,707.3958333333331,,65.75,,0.26,11.222916666666663,4.95,
2015-01-17,,,,,16.541666666666668,173.125,,704.025,,57.666666666666664,,0.26491666666666663,16.813333333333336,6.041666666666667,
2015-01-18,,,,,21.333333333333332,84.16666666666667,,707.9208333333331,,48.791666666666664,,0.16974999999999998,15.455833333333333,5.575,
2015-01-19,,,,,15.375,128.41666666666666,,702.8333333333334,,50.041666666666664,,0.26425000000000004,18.00958333333333,7.766666666666666,
2015-01-20,,,,,19.291666666666668,112.91666666666667,,700.2875,,49.25,,0.325,20.760416666666668,5.295833333333333,
2015-01-21,,,,,21.791666666666668,105.75,,699.2041666666669,,67.875,,0.2535833333333333,17.72,9.754166666666666,
2015-01-22,,,,,9.625,83.66666666666667,,700.5,,86.91666666666667,,0.040157894736842115,13.514999999999999,8.591666666666667,
2015-01-23,,,,,20.0,49.23809523809524,,705.6583333333333,,69.125,,0.2735,9.26125,14.241666666666662,
2015-01-24,,,,,9.833333333333334,120.25,,706.3500000000003,,64.45833333333333,,0.19533333333333333,9.437499999999998,4.445833333333333,
2015-01-25,,,,,15.458333333333334,88.54166666666667,,704.3166666666666,,45.708333333333336,,0.21100000000000005,13.936249999999996,9.266666666666667,
2015-01-26,,,,,20.958333333333332,107.08333333333333,,706.8833333333333,,40.583333333333336,,0.2354166666666667,15.767500000000004,6.554166666666666,
2015-01-27,,,,,29.416666666666668,107.08333333333333,,705.5749999999998,,40.166666666666664,,0.3334166666666667,18.449583333333333,6.375,
2015-01-28,,,,,29.166666666666668,127.625,,703.9166666666666,,47.0,,0.27741666666666664,18.092916666666667,7.416666666666667,
2015-01-29,,,,,22.541666666666668,140.75,,704.3125,,54.666666666666664,,0.34191666666666665,17.972500000000004,8.6375,
2015-01-30,,,,,20.25,55.0,,705.65,,85.125,,0.06228571428571428,15.268750000000002,15.775000000000004,
2015-01-31,,,,,15.666666666666666,65.05,,700.6625,,86.08333333333333,,0.10542857142857143,14.746250000000003,8.395833333333334,
2015-02-01,,,,,11.333333333333334,71.95454545454545,,700.1041666666666,,71.625,,0.1445833333333333,17.22125,6.812499999999999,
2015-02-02,,,,,20.958333333333332,26.58823529411765,,706.3249999999999,,80.45833333333333,,0.045076923076923084,7.689583333333332,11.966666666666667,
2015-02-03,,,,,11.541666666666666,64.22727272727273,,704.4875000000002,,86.83333333333333,,0.07226666666666667,6.407083333333333,7.687499999999999,
2015-02-04,,,,,16.166666666666668,108.66666666666667,,702.4124999999999,,59.916666666666664,,0.39491666666666664,15.17458333333333,9.762500000000001,
2015-02-05,,,,,6.5,98.125,,707.0708333333336,,81.58333333333333,,0.0556,10.77875,7.412499999999999,
2015-02-06,,,,,6.625,88.75,,707.8666666666667,,83.25,,0.12841176470588236,10.667083333333336,6.733333333333333,
2015-02-07,,,,,16.791666666666668,190.0,,703.3124999999999,,67.08333333333333,,0.3595833333333333,15.277083333333332,5.662500000000001,
