,NOROESTE,NOROESTE,NOROESTE,NOROESTE,NOROESTE,NOROESTE,NOROESTE,NOROESTE,NOROESTE,NOROESTE,NOROESTE,NOROESTE,NOROESTE,NOROESTE,NOROESTE
,CO,NO,NO2,NOX,O3,PM10,PM2.5,PRS,RAINF,RH,SO2,SR,TOUT,WSR,WDR
,ppm,ppb,ppb,ppb,ppb,ug/m3,ug/m3,mmhg,mm/hr,%,ppb,KW/m2,DegC,km/hr,Deg
Date,,,,,,,,,,,,,,,
2015-02-03,1.4241666666666666,,,,10.833333333333334,41.583333333333336,21.5,717.2833333333332,,89.66666666666667,7.1291666666666655,0.05550000000000001,6.776249999999998,3.9166666666666674,187.83333333333334
2015-02-04,1.3679166666666667,,,,14.333333333333334,111.375,33.04545454545455,714.6041666666666,,71.75,4.966666666666665,0.34507692307692306,15.123333333333335,6.729166666666665,225.29166666666666
2015-02-05,0.5183333333333333,,,,6.541666666666667,98.16666666666667,21.25,719.4833333333335,,83.0,4.423809523809523,0.08541666666666665,12.000000000000002,5.745833333333333,202.5
2015-02-06,0.5529166666666666,,,,7.25,73.70833333333333,22.708333333333332,720.4375,,84.66666666666667,3.6130434782608694,0.11741666666666667,10.964999999999998,5.741666666666666,121.66666666666667
2015-02-07,0.8754166666666666,,,,15.375,165.16666666666666,50.916666666666664,715.5583333333333,,69.58333333333333,4.445833333333333,0.37691666666666673,15.691250000000002,5.279166666666667,174.58333333333334
2015-02-08,0.7916666666666669,,,,17.25,137.83333333333334,39.0,711.7666666666668,,41.875,4.565217391304348,0.4264166666666666,22.18916666666667,9.987499999999997,289.5
2015-02-09,0.7033333333333335,,,,23.166666666666668,120.79166666666667,18.333333333333332,715.1333333333332,,36.583333333333336,5.795833333333332,0.40850000000000003,22.314166666666665,8.141666666666667,165.0
2015-02-10,0.6379166666666666,,,,24.416666666666668,117.875,19.708333333333332,713.0458333333335,,46.333333333333336,5.645833333333333,0.3985833333333333,19.982916666666668,6.758333333333334,196.91666666666666
2015-02-11,0.5179166666666667,,,,25.833333333333332,124.83333333333333,26.0,711.3499999999999,,54.458333333333336,7.591666666666668,0.37799999999999995,19.25916666666667,7.445833333333332,193.33333333333334
2015-02-12,0.36999999999999994,,,,19.083333333333332,31.5,11.31578947368421,718.1791666666668,0.07333333333333335,87.54166666666667,3.9499999999999997,0.04346153846153847,13.745416666666669,8.274999999999999,139.95833333333334
2015-02-13,0.8465,,,,16.666666666666668,83.625,34.75,719.9625000000001,0.025,84.375,7.620833333333334,0.11175000000000002,12.222916666666668,5.141666666666666,153.66666666666666
2015-02-14,0.8445833333333331,,,,7.041666666666667,127.125,47.21739130434783,718.3833333333332,,87.29166666666667,8.675000000000002,0.06058333333333334,14.013749999999996,3.845833333333333,201.95833333333334
2015-02-15,0.9812499999999998,,,,9.916666666666666,108.5,49.291666666666664,713.7208333333332,,87.375,4.083333333333334,0.19691666666666666,16.512083333333333,4.6499999999999995,218.08333333333334
2015-02-16,0.715,,,,16.583333333333332,119.125,33.72222222222222,710.6541666666666,0.049999999999999996,64.45833333333333,4.020833333333333,0.3173333333333333,19.55541666666667,11.095833333333333,217.375
2015-02-17,0.5594736842105265,,,,11.666666666666666,75.29166666666667,23.142857142857142,716.4875000000002,0.02,76.5,3.858333333333333,0.09125,9.199583333333331,5.1499999999999995,206.25
2015-02-18,0.8104166666666667,,,,19.375,126.79166666666667,24.208333333333332,719.3291666666668,,66.58333333333333,4.441666666666667,0.4212499999999999,11.76,7.9916666666666645,152.20833333333334
2015-02-19,0.5479166666666666,,,,18.5,111.125,24.416666666666668,717.4125,,67.66666666666667,5.4375,0.40750000000000003,13.65375,6.679166666666666,205.29166666666666
2015-02-20,0.6241666666666666,,,,19.958333333333332,143.5,35.65217391304348,711.0166666666668,,70.125,4.7875,0.4018333333333333,17.833750000000002,6.504166666666667,203.29166666666666
2015-02-21,0.7808333333333334,,,,22.208333333333332,168.125,37.25,709.3791666666666,,56.166666666666664,6.483333333333333,0.4071666666666667,22.179583333333337,8.141666666666667,227.875
2015-02-22,1.1325,,,,25.416666666666668,164.45833333333334,42.0,711.7958333333335,,63.625,9.345833333333333,0.3515833333333333,22.270833333333332,6.874999999999999,211.54166666666666
2015-02-23,0.285,,,,8.75,49.958333333333336,13.0,718.7916666666669,0.025,84.54166666666667,3.537499999999999,0.0625,10.279583333333331,8.583333333333334,178.25
2015-02-24,0.4182352941176471,,,,7.434782608695652,46.625,21.210526315789473,715.3375000000001,,88.66666666666667,4.6190476190476195,0.09491666666666666,4.555000000000001,7.2749999999999995,164.41666666666666
2015-02-25,0.491,,,,18.791666666666668,63.833333333333336,16.85,710.3041666666668,,66.33333333333333,4.995833333333334,0.42124999999999996,11.774166666666666,7.987500000000001,177.83333333333334
2015-02-26,0.6542857142857144,,,,25.958333333333332,145.20833333333334,25.708333333333332,712.1875,,57.125,6.629166666666666,0.41733333333333333,15.347916666666665,13.424999999999999,182.08333333333334
2015-02-27,0.2040909090909091,,,,20.875,20.041666666666668,10.277777777777779,716.3583333333332,,89.66666666666667,4.075,0.06691666666666667,7.222499999999999,11.8125,146.41666666666666
2015-02-28,0.7480952380952381,,,,10.833333333333334,59.75,31.904761904761905,716.0666666666666,0.01,86.54166666666667,4.479166666666667,0.17033333333333334,7.9675,4.691666666666667,178.54166666666666
