,SURESTE,SURESTE,SURESTE,SURESTE,SURESTE,SURESTE,SURESTE,SURESTE,SURESTE,SURESTE,SURESTE,SURESTE,SURESTE,SURESTE,SURESTE
,CO,NO,NO2,NOX,O3,PM10,PM2.5,PRS,RAINF,RH,SO2,SR,TOUT,WSR,WDR
,ppm,ppb,ppb,ppb,ppb,ug/m3,ug/m3,mmhg,mm/hr,%,ppb,KW/m2,DegC,km/hr,Deg
Date,,,,,,,,,,,,,,,
2015-01-01,1.7595833333333335,,,,4.666666666666667,45.03725416666666,,,,96.41666666666667,3.0875,0.09,5.500416666666666,4.391666666666667,110.16666666666667
2015-01-02,1.754166666666667,,,,3.6666666666666665,39.62691249999998,,,,96.625,3.066666666666667,0.06527272727272727,5.778750000000001,4.1,74.45833333333333
2015-01-03,2.4683333333333333,,,,3.5416666666666665,74.14607916666668,,,0.01,94.75,4.795833333333333,0.1312727272727273,8.069166666666666,3.108333333333334,149.08333333333334
2015-01-04,1.971666666666666,,,,13.541666666666666,51.094979166666654,,,,75.5,3.8416666666666672,0.29499999999999993,12.574166666666668,6.016666666666668,193.70833333333334
2015-01-05,1.7058333333333333,,,,21.0,43.70544166666665,,,,79.75,2.9727272727272718,0.25066666666666665,9.807083333333333,7.3,74.41666666666667
2015-01-06,2.170833333333333,,,,13.416666666666666,73.29977499999997,,,0.02,82.125,3.85,0.27675,11.950000000000001,4.695833333333334,94.75
2015-01-07,2.1245833333333333,,,,12.782608695652174,65.78447272727271,26.25,,,91.04166666666667,4.787499999999999,0.21809090909090909,12.480416666666665,4.408333333333334,135.625
2015-01-08,1.656666666666667,,,,17.083333333333332,47.23566249999998,10.31578947368421,,,87.29166666666667,3.3124999999999996,0.06180000000000001,4.494583333333334,5.129166666666667,123.54166666666667
2015-01-09,1.9345833333333335,,,,6.041666666666667,53.66202083333334,18.72222222222222,,,94.33333333333333,3.7956521739130427,0.049363636363636366,5.758333333333333,4.1875,206.70833333333334
2015-01-10,1.7779166666666664,,,,6.333333333333333,36.78300434782607,10.071428571428571,,,97.0,3.6333333333333333,0.05836363636363637,4.11,3.7375000000000003,129.0
2015-01-11,2.214583333333333,,,,8.958333333333334,61.24931249999998,26.041666666666668,,,89.25,4.591666666666668,0.3742499999999999,9.36375,4.075,138.70833333333334
2015-01-12,2.3604166666666666,,,,20.375,65.82637499999997,24.75,,,81.33333333333333,6.808333333333333,0.3639166666666666,13.917083333333329,7.258333333333333,146.04166666666666
2015-01-13,1.8062500000000001,,,,8.208333333333334,34.94995416666665,7.846153846153846,,,96.70833333333333,3.9,0.05327272727272728,7.075833333333332,5.854166666666668,136.91666666666666
2015-01-14,1.8625,,,,5.125,37.05845555555554,8.916666666666666,,,96.91666666666667,3.4956521739130437,0.06208333333333333,5.782083333333333,4.1375,76.29166666666667
2015-01-15,1.9930434782608697,,,,5.782608695652174,48.9042380952381,9.727272727272727,,,87.6086956521739,3.869565217391304,0.13210000000000002,7.829565217391301,3.095652173913044,158.2173913043478
2015-01-16,2.39125,,,,13.083333333333334,66.51327083333332,17.833333333333332,,,79.91666666666667,4.472727272727273,0.3485833333333333,11.326249999999996,4.345833333333333,181.29166666666666
2015-01-17,2.8812499999999996,,,,15.416666666666666,99.86285000000002,38.291666666666664,,,76.25,5.566666666666666,0.32449999999999996,15.781666666666668,3.5541666666666667,174.70833333333334
2015-01-18,2.210833333333333,,,,20.458333333333332,63.74664999999997,25.333333333333332,,,55.75,5.458333333333333,0.19375,16.125000000000004,3.758333333333333,183.375
2015-01-19,2.5291666666666663,,,,15.041666666666666,74.7288875,19.181818181818183,,,68.20833333333333,5.425,0.30375,17.022916666666664,4.3374999999999995,188.20833333333334
2015-01-20,2.3016666666666663,,,,18.583333333333332,64.03889583333334,13.2,,,61.708333333333336,5.045833333333333,0.4169166666666666,21.322916666666668,6.162499999999999,202.95833333333334
2015-01-21,2.4775,,,,15.916666666666666,75.35390416666662,23.916666666666668,,,83.41666666666667,5.970833333333334,0.2851818181818182,18.074166666666667,5.666666666666665,161.66666666666666
2015-01-22,1.980416666666667,,,,13.125,52.2067125,17.77777777777778,,,93.91666666666667,4.062500000000001,0.0551,13.36625,5.433333333333334,116.29166666666667
2015-01-23,1.9604166666666665,,,,13.833333333333334,44.56384583333332,8.75,,,80.375,3.6130434782608694,0.12027272727272725,8.555416666666668,5.5,120.25
2015-01-24,2.329166666666667,,,,13.208333333333334,60.23270416666666,17.636363636363637,,,78.625,4.391666666666667,0.2738333333333333,9.959166666666667,3.554166666666667,151.66666666666666
2015-01-25,2.539166666666666,,,,9.291666666666666,62.578675000000004,17.565217391304348,,,65.45833333333333,5.683333333333334,0.23925000000000005,14.333750000000002,4.541666666666667,202.66666666666666
2015-01-26,2.298333333333334,,,,18.333333333333332,52.425186956521735,11.380952380952381,,,51.875,5.629166666666669,0.32475,16.87875,5.229166666666666,146.25
2015-01-27,2.42,,,,26.916666666666668,73.73336249999998,20.75,,,52.291666666666664,7.699999999999999,0.4059999999999999,19.126666666666665,4.7875,177.125
2015-01-28,2.534166666666667,,,,22.583333333333332,78.4977347826087,23.208333333333332,,,59.291666666666664,7.916666666666667,0.34850000000000003,19.105833333333333,6.020833333333333,185.91666666666666
2015-01-29,2.4879166666666666,,,,27.0,83.17724166666666,25.583333333333332,,,68.54166666666667,11.408333333333333,0.403,18.715,6.058333333333334,154.20833333333334
2015-01-30,2.0820833333333333,,,,18.625,48.73264583333332,12.363636363636363,,0.02,93.91666666666667,4.4625,0.14479999999999998,16.440416666666664,8.29583333333333,84.54166666666667
