,NORESTE2,NORESTE2,NORESTE2,NORESTE2,NORESTE2,NORESTE2,NORESTE2,NORESTE2,NORESTE2,NORESTE2,NORESTE2,NORESTE2,NORESTE2,NORESTE2,NORESTE2
,CO,NO,NO2,NOX,O3,PM10,PM2.5,PRS,RAINF,RH,SO2,SR,TOUT,WSR,WDR
,ppm,ppb,ppb,ppb,ppb,ug/m3,ug/m3,mmhg,mm/hr,%,ppb,KW/m2,DegC,km/hr,Deg
Date,,,,,,,,,,,,,,,
2015-01-01,1.3058333333333332,2.3208333333333333,7.045833333333333,9.366666666666667,,16.58823529411765,13.461538461538462,726.7124999999997,0.012857142857142857,86.08333333333333,4.737499999999999,0.06536363636363636,5.61,6.549999999999998,159.16666666666666
2015-01-02,1.366666666666667,2.9375000000000004,11.862500000000002,14.800000000000002,,33.5,18.181818181818183,723.9208333333332,0.013333333333333334,84.33333333333333,5.320833333333334,0.06466666666666668,6.229166666666667,5.541666666666667,120.33333333333333
2015-01-03,1.5050000000000001,2.4166666666666665,20.241666666666664,22.65833333333333,,60.0,32.0,723.7416666666668,0.01,81.83333333333333,5.875000000000001,0.10707692307692306,8.53125,5.108333333333334,179.20833333333334
2015-01-04,1.1166666666666665,2.4608695652173913,17.308333333333334,19.620833333333334,,48.0,27.0,732.1999999999999,0.01,61.833333333333336,5.8999999999999995,0.16152941176470592,12.139166666666666,9.579166666666666,224.20833333333334
2015-01-05,1.4725,2.2500000000000004,17.433333333333334,19.683333333333334,,67.33333333333333,19.666666666666668,735.8833333333332,,62.125,12.65,0.18708333333333335,10.084166666666668,8.229166666666668,147.66666666666666
2015-01-06,1.5520833333333337,2.383333333333333,25.395833333333332,27.77916666666667,,96.20833333333333,33.375,732.1541666666667,0.01,63.916666666666664,16.337500000000002,0.21591666666666665,12.426249999999998,5.4624999999999995,114.875
2015-01-07,1.1775,2.1782608695652175,19.773913043478252,21.95217391304348,,54.22727272727273,22.80952380952381,733.5833333333334,0.024999999999999998,77.5,8.687500000000002,0.0966923076923077,12.43625,9.783333333333333,125.79166666666667
2015-01-08,1.442173913043478,2.2375000000000003,11.816666666666668,14.054166666666669,,54.0,19.333333333333332,734.3041666666664,,69.5,7.175,0.061916666666666675,5.129166666666667,9.954166666666667,104.58333333333333
2015-01-09,1.295,1.8409090909090906,15.013636363636364,16.854545454545455,,44.041666666666664,21.57894736842105,730.5875000000001,0.02,78.875,6.533333333333335,0.0399375,6.0375000000000005,9.5125,158.20833333333334
2015-01-10,1.3708333333333333,1.526086956521739,9.143478260869564,10.669565217391305,,13.833333333333334,10.0,731.0958333333334,0.0175,83.08333333333333,5.079166666666667,0.06666666666666667,4.340416666666666,8.783333333333331,174.34782608695653
2015-01-11,1.53125,1.7833333333333339,15.258333333333335,17.041666666666664,,60.476190476190474,26.736842105263158,727.3291666666665,0.02,73.83333333333333,9.270833333333334,0.27430769230769225,9.183333333333334,5.754166666666667,203.45833333333334
2015-01-12,1.2525,2.35,31.53333333333333,33.88333333333333,,105.79166666666667,35.82608695652174,727.5708333333332,0.01,67.79166666666667,9.133333333333335,0.18516666666666667,13.788333333333334,7.658333333333334,184.41666666666666
2015-01-13,1.3355555555555554,2.3083333333333336,17.658333333333335,19.96666666666667,,23.0,12.666666666666666,730.9458333333333,0.023571428571428573,85.25,5.499999999999999,0.029750000000000002,7.371666666666665,9.029166666666667,124.54166666666667
2015-01-14,1.2482608695652175,1.7956521739130438,13.317391304347826,15.11304347826087,,13.631578947368421,10.153846153846153,729.2291666666669,0.021538461538461538,85.5,5.0583333333333345,0.04264285714285715,6.111666666666668,6.391666666666667,111.08333333333333
2015-01-15,1.424166666666667,1.936363636363636,11.56818181818182,13.504545454545452,,55.36842105263158,13.45,731.0291666666666,0.01,67.91666666666667,7.033333333333334,0.1950833333333333,8.729583333333332,10.820833333333331,75.6086956521739
2015-01-16,1.4670833333333333,3.7739130434782613,25.98260869565217,29.756521739130434,,115.04166666666667,30.5,730.6166666666664,,61.75,6.370833333333333,0.1996875,11.947083333333337,6.395833333333333,241.82608695652175
2015-01-17,1.4529999999999998,3.266666666666666,34.083333333333336,37.349999999999994,,187.70833333333334,56.0,726.7624999999999,,57.458333333333336,9.450000000000001,0.1993333333333334,16.336249999999996,4.7749999999999995,236.66666666666666
2015-01-18,1.2033333333333334,1.9833333333333332,14.591666666666667,16.575,,64.70833333333333,26.533333333333335,730.6791666666668,,38.708333333333336,10.25416666666667,0.18275,16.83708333333333,7.366666666666667,208.58333333333334
2015-01-19,1.305,2.3,31.4375,33.7375,,154.375,37.375,725.275,,47.833333333333336,9.229166666666668,0.23424999999999999,18.283333333333335,6.199999999999999,230.91666666666666
2015-01-20,1.4287499999999997,3.8833333333333324,41.0625,44.94583333333333,,169.75,44.31818181818182,722.2374999999998,,47.75,10.616666666666665,0.2835384615384615,21.634999999999994,7.458333333333333,232.91666666666666
2015-01-21,1.22,2.55,28.362499999999994,30.912499999999998,,118.70833333333333,34.583333333333336,721.5833333333334,,67.375,11.29166666666667,0.18686666666666665,18.658333333333335,6.9375,174.95833333333334
2015-01-22,1.1389473684210525,2.083333333333333,9.925,12.008333333333333,,31.0,19.05263157894737,723.35,0.02,78.83333333333333,9.970833333333335,0.08615384615384615,13.479999999999999,14.875000000000002,54.25
2015-01-23,1.3958333333333333,2.35,6.533333333333334,8.883333333333335,,25.782608695652176,9.625,729.2416666666667,,60.791666666666664,8.758333333333335,0.17249999999999996,9.132916666666667,16.341666666666665,95.6086956521739
2015-01-24,1.550416666666667,2.0166666666666666,23.0125,25.029166666666665,,77.83333333333333,29.25,729.7875000000003,,57.333333333333336,10.3375,0.20741666666666667,10.500416666666666,5.658333333333332,188.58333333333334
2015-01-25,1.2149999999999999,2.445833333333333,20.275000000000002,22.72083333333333,,75.04347826086956,38.35294117647059,727.125,,42.708333333333336,9.749999999999998,0.13483333333333333,14.912916666666668,8.375000000000002,271.0416666666667
2015-01-26,1.38,2.4166666666666665,26.166666666666668,28.583333333333332,,85.625,20.583333333333332,729.725,,34.666666666666664,14.116666666666667,0.23391666666666666,17.14375,7.020833333333335,189.625
2015-01-27,1.3629166666666668,2.5500000000000003,26.691666666666666,29.241666666666664,,96.29166666666667,26.5,728.1916666666665,,36.5,14.029166666666663,0.3110833333333333,19.435833333333335,6.441666666666666,200.52173913043478
2015-01-28,1.1454545454545455,2.3739130434782605,43.65217391304348,46.02608695652174,,138.75,41.791666666666664,726.4083333333333,,41.25,18.995833333333334,0.17777777777777776,19.525833333333335,6.941666666666666,200.91666666666666
2015-01-29,1.1789473684210525,2.8666666666666667,30.766666666666666,33.63333333333333,,92.29166666666667,25.0,727.0833333333335,,54.166666666666664,13.595833333333331,0.25233333333333335,18.955000000000002,6.8,189.08333333333334
2015-01-30,1.34,2.3208333333333333,19.150000000000002,21.47083333333333,,63.458333333333336,16.217391304347824,728.7333333333332,0.14333333333333334,78.79166666666667,11.350000000000001,0.08333333333333333,17.20958333333333,10.320833333333335,116.16666666666667
2015-01-31,1.363,2.043478260869565,20.195833333333336,22.15833333333333,,42.541666666666664,26.4,723.2833333333333,0.042,82.5,13.954166666666667,0.09491666666666665,16.20166666666667,7.620833333333333,135.625
2015-02-01,0.24100000000000002,2.1863636363636365,16.8125,18.754166666666666,,71.80952380952381,33.45,722.3375000000002,0.01,76.0,7.175,0.14041666666666666,17.974583333333335,6.279166666666668,248.91666666666666
2015-02-02,0.23882352941176474,2.4695652173913043,10.45,12.762500000000001,,18.0,10.421052631578947,729.9625000000001,0.03384615384615385,76.45833333333333,6.425,0.04062500000000001,9.140416666666669,9.8875,180.04347826086956
2015-02-03,0.4141666666666668,3.2416666666666667,16.5,19.741666666666664,,23.458333333333332,15.2,728.2625000000002,0.025333333333333336,84.66666666666667,9.670833333333334,0.07478571428571427,7.1383333333333345,6.525000000000001,134.125
